window_id,timestamp,symbol,visual_regime,regime_type,volatility,trend_strength,high,low,close,volume,is_correct
21,1778028000,ESM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000191,0.0003,7304.00,7303.00,7303.50,147,False
22,1778028060,ESM6.CME@RITHMIC,TREND_UP,UPTREND,0.000183,0.0002,7304.75,7303.50,7304.50,194,False
23,1778028120,ESM6.CME@RITHMIC,BALANCE,UPTREND,0.000186,0.0003,7305.00,7303.50,7303.75,243,False
24,1778028180,ESM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000181,0.0006,7304.25,7303.25,7304.00,72,False
25,1778028240,ESM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000183,0.0007,7304.00,7302.25,7302.75,152,False
26,1778028300,ESM6.CME@RITHMIC,BALANCE,UPTREND,0.000174,0.0006,7303.25,7302.25,7302.75,131,False
27,1778028360,ESM6.CME@RITHMIC,BALANCE,RANGE,0.000169,0.0002,7303.00,7302.25,7302.50,103,True
28,1778028420,ESM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000157,0.0002,7302.50,7301.50,7302.25,125,False
29,1778028480,ESM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000157,0.0009,7302.50,7301.50,7301.50,144,False
30,1778028540,ESM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000174,0.0015,7301.75,7299.25,7300.50,545,False
31,1778028600,ESM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000179,0.0016,7302.50,7300.75,7302.50,249,False
32,1778028660,ESM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000176,0.0014,7303.50,7302.50,7303.25,161,False
33,1778028720,ESM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000176,0.0012,7303.00,7302.00,7302.25,130,False
34,1778028780,ESM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000174,0.0009,7302.75,7302.00,7302.50,71,False
35,1778028840,ESM6.CME@RITHMIC,TREND_UP,RANGE,0.000176,0.0001,7303.75,7302.50,7303.50,173,True
36,1778028900,ESM6.CME@RITHMIC,BALANCE,UPTREND,0.000171,0.0002,7303.75,7303.00,7303.75,171,False
37,1778028960,ESM6.CME@RITHMIC,TREND_UP,UPTREND,0.000161,0.0002,7304.00,7303.50,7303.75,135,False
38,1778029020,ESM6.CME@RITHMIC,BALANCE,UPTREND,0.000164,0.0005,7304.00,7302.75,7303.25,133,False
39,1778029080,ESM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000156,0.0006,7303.50,7302.50,7302.75,108,False
40,1778029140,ESM6.CME@RITHMIC,TREND_UP,UPTREND,0.000156,0.0006,7303.75,7303.00,7303.50,104,False
41,1778029200,ESM6.CME@RITHMIC,TREND_UP,UPTREND,0.000176,0.0008,7306.00,7303.25,7304.50,386,False
42,1778029260,ESM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000193,0.0010,7305.50,7302.75,7304.75,399,False
43,1778029320,ESM6.CME@RITHMIC,TREND_UP,UPTREND,0.000198,0.0016,7306.25,7304.75,7305.75,167,False
44,1778029380,ESM6.CME@RITHMIC,TREND_UP,UPTREND,0.000181,0.0023,7306.50,7305.75,7305.75,152,False
45,1778029440,ESM6.CME@RITHMIC,BALANCE,UPTREND,0.000176,0.0028,7307.25,7305.75,7306.25,242,False
46,1778029500,ESM6.CME@RITHMIC,TREND_UP,UPTREND,0.000178,0.0032,7307.50,7306.25,7307.00,131,False
47,1778029560,ESM6.CME@RITHMIC,BALANCE,UPTREND,0.000174,0.0034,7307.25,7306.50,7306.50,154,False
