signal_id,model,direction,mae,mfe,outcome_type,r_multiple
2026-05-04T19:07:03.324Z,A_IMMEDIATE,SHORT,3.0,4.75,STOP_HIT,-1.0
2026-05-04T19:07:03.324Z,B_RECLAIM_START,SHORT,3.0,4.75,STOP_HIT,-1.0
2026-05-04T19:07:03.324Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.75,TARGET2_HIT,2.0
2026-05-04T19:07:03.515Z,A_IMMEDIATE,SHORT,3.0,4.75,STOP_HIT,-1.0
2026-05-04T19:07:03.515Z,B_RECLAIM_START,SHORT,3.0,4.75,STOP_HIT,-1.0
2026-05-04T19:07:03.515Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:07:06.821Z,A_IMMEDIATE,LONG,4.25,3.5,TARGET1_HIT,1.0
2026-05-04T19:07:06.821Z,B_RECLAIM_START,LONG,4.25,3.5,TARGET1_HIT,1.0
2026-05-04T19:07:06.821Z,C_FOLLOWTHROUGH_CONFIRMED,LONG,0.0,1.75,TARGET1_HIT,1.0
2026-05-04T19:07:41.466Z,A_IMMEDIATE,SHORT,3.0,4.75,TARGET1_HIT,1.0
2026-05-04T19:07:41.466Z,B_RECLAIM_START,SHORT,3.0,4.75,TARGET1_HIT,1.0
2026-05-04T19:07:41.466Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.5,TARGET1_HIT,1.0
2026-05-04T19:07:41.636Z,A_IMMEDIATE,SHORT,3.0,4.75,TARGET1_HIT,1.0
2026-05-04T19:07:41.636Z,B_RECLAIM_START,SHORT,3.0,4.75,TARGET1_HIT,1.0
2026-05-04T19:07:41.636Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,2.0,TARGET2_HIT,2.0
2026-05-04T19:07:41.659Z,A_IMMEDIATE,SHORT,3.25,4.5,TARGET1_HIT,1.0
2026-05-04T19:07:41.659Z,B_RECLAIM_START,SHORT,3.25,4.5,TARGET1_HIT,1.0
2026-05-04T19:07:41.659Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.75,TARGET2_HIT,2.0
2026-05-04T19:07:41.692Z,A_IMMEDIATE,SHORT,3.25,4.5,TARGET1_HIT,1.0
2026-05-04T19:07:41.692Z,B_RECLAIM_START,SHORT,3.25,4.5,TARGET1_HIT,1.0
2026-05-04T19:07:41.692Z,C_FOLLOWTHROUGH_CONFIRMED,SHORT,0.0,1.75,TARGET2_HIT,2.0
