regime,entry_bar,bars_held,pnl_ticks,pnl_usd,status,exit_reason,max_profit,max_loss
BEAR,113,1,49.85526404204256,997.1052808408513,WIN,PROFIT_TARGET,49.85526404204256,0
BEAR,163,1,64.36274450806276,1287.2548901612552,WIN,PROFIT_TARGET,64.36274450806276,0
BEAR,167,1,55.54866352191158,1110.9732704382316,WIN,PROFIT_TARGET,55.54866352191158,0
BEAR,182,1,60.59113872008493,1211.8227744016986,WIN,PROFIT_TARGET,60.59113872008493,0
BULL,211,8,-48.90573733008498,-978.1147466016996,LOSS,STOP_LOSS,1.0219977683657775,-48.90573733008498
BEAR,238,1,47.332558852961185,946.6511770592238,WIN,PROFIT_TARGET,47.332558852961185,0
BEAR,249,1,56.17261025226892,1123.4522050453784,WIN,PROFIT_TARGET,56.17261025226892,0
BEAR,374,4,-821.8200870660941,-16436.401741321883,LOSS,STOP_LOSS,0.8033942711092257,-821.8200870660941
BEAR,375,3,-822.3356695894527,-16446.713391789053,LOSS,STOP_LOSS,0.2878117477507214,-822.3356695894527
BEAR,385,1,44.28616483547233,885.7232967094466,WIN,PROFIT_TARGET,44.28616483547233,0
BEAR,555,1,35.3975166634817,707.950333269634,WIN,PROFIT_TARGET,35.3975166634817,0
BULL,584,7,10.79410535235157,215.8821070470314,WIN,PROFIT_TARGET,10.79410535235157,0
BULL,593,10,-20.32639835124502,-406.5279670249004,LOSS,STOP_LOSS,1.4422559989942185,-20.32639835124502
BULL,595,5,-21.30908405840167,-426.1816811680334,LOSS,STOP_LOSS,0,-21.30908405840167
BULL,596,11,-21.415661754721853,-428.31323509443706,LOSS,STOP_LOSS,0,-21.415661754721853
BULL,598,25,-33.93327250713794,-678.6654501427588,LOSS,STOP_LOSS,0.9613883459313632,-33.93327250713794
BEAR,1259,1,15.736869492861521,314.7373898572304,WIN,PROFIT_TARGET,15.736869492861521,0
BULL,1277,30,-5.213416251366314,-104.26832502732628,LOSS,TIMEOUT,3.418554783783387,-15.976106324055317
BULL,1279,30,-3.617279471930542,-72.34558943861084,LOSS,TIMEOUT,6.375085840325695,-13.019575267513005
BULL,1280,30,-12.373526620692438,-247.47053241384876,LOSS,TIMEOUT,7.363228988936344,-12.373526620692438
BULL,1285,30,-8.489095884497566,-169.7819176899513,LOSS,TIMEOUT,0,-19.73675560962878
BULL,1286,30,2.0678220611314533,41.356441222629066,WIN,TIMEOUT,5.7401301052843365,-12.887970675393548
BULL,1288,30,2.600161252574803,52.00322505149606,WIN,TIMEOUT,6.946084188227272,-11.682016592450614
BULL,1289,30,0.05504134080511064,1.1008268161022128,WIN,TIMEOUT,6.5876529796893735,-12.040447800988511
