alert_id,symbol,direction,entry,exit,outcome,mfe,mae,r,regime,risk_score,phase2_action
REPLAY_000217,NQM6.CME@RITHMIC,LONG,28326.5,28332.5,TARGET1,6.0,-0.25,1.5,BALANCE,0.7545966740348018,HOLD
REPLAY_000218,NQM6.CME@RITHMIC,SHORT,28337.75,28341.75,STOP,-4.0,2.25,-1.0,BALANCE,0.46058967334210626,HOLD
REPLAY_000219,NQM6.CME@RITHMIC,SHORT,28339.75,28343.75,STOP,-4.0,3.25,-1.0,BALANCE,0.7663640746042076,HOLD
REPLAY_000220,NQM6.CME@RITHMIC,LONG,28337.75,28343.75,TARGET1,6.0,0.0,1.5,BALANCE,0.5318789350883655,HOLD
REPLAY_000221,NQM6.CME@RITHMIC,LONG,28342.5,28338.5,STOP,0.0,-4.0,-1.0,BALANCE,0.7033706461122088,HOLD
REPLAY_000222,ESM6.CME@RITHMIC,SHORT,7309.0,7309.0,NO_EXIT,-1.5,2.0,0.0,BALANCE,0.50897487933338,HOLD
REPLAY_000223,NQM6.CME@RITHMIC,LONG,28340.25,28336.25,STOP,3.0,-4.0,-1.0,BALANCE,0.5991867842669811,HOLD
REPLAY_000224,ESM6.CME@RITHMIC,LONG,7309.5,7309.5,NO_EXIT,1.0,-2.5,0.0,BALANCE,0.520387230353521,HOLD
REPLAY_000225,NQM6.CME@RITHMIC,LONG,28334.75,28330.75,STOP,3.75,-4.0,-1.0,BALANCE,0.32419883460467536,HOLD
REPLAY_000226,NQM6.CME@RITHMIC,LONG,28330.0,28336.0,TARGET1,6.0,-1.25,1.5,BALANCE,0.34867822487506106,HOLD
REPLAY_000227,ESM6.CME@RITHMIC,SHORT,7308.25,7308.25,NO_EXIT,-2.25,1.25,0.0,BALANCE,0.8121574898659464,HOLD
REPLAY_000228,NQM6.CME@RITHMIC,SHORT,28343.5,28347.5,STOP,-4.0,4.75,-1.0,BALANCE,0.7414067964098168,HOLD
REPLAY_000229,ESM6.CME@RITHMIC,SHORT,7309.5,7309.5,NO_EXIT,-1.0,2.5,0.0,BALANCE,0.4036549477564541,HOLD
REPLAY_000230,ESM6.CME@RITHMIC,LONG,7309.5,7309.5,NO_EXIT,1.0,-2.5,0.0,BALANCE,0.5461319005834947,HOLD
REPLAY_000231,NQM6.CME@RITHMIC,SHORT,28347.0,28341.0,TARGET1,-2.0,6.0,1.5,BALANCE,0.7416858425573136,HOLD
REPLAY_000232,NQM6.CME@RITHMIC,SHORT,28339.0,28333.0,TARGET1,-2.0,6.0,1.5,BALANCE,0.27159671654540846,HOLD
REPLAY_000233,NQM6.CME@RITHMIC,LONG,28333.25,28329.25,STOP,1.0,-4.0,-1.0,BALANCE,0.7019393474789244,HOLD
REPLAY_000234,NQM6.CME@RITHMIC,SHORT,28330.25,28334.25,STOP,-4.0,0.75,-1.0,BALANCE,0.8414972619198957,HOLD
REPLAY_000235,ESM6.CME@RITHMIC,SHORT,7307.5,7311.5,STOP,-4.0,0.5,-1.0,BALANCE,0.5984527530789012,HOLD
REPLAY_000236,ESM6.CME@RITHMIC,LONG,7308.25,7308.25,NO_EXIT,4.25,-1.25,0.0,BALANCE,0.7496309614758075,HOLD
REPLAY_000237,NQM6.CME@RITHMIC,SHORT,28330.75,28334.75,STOP,-4.25,0.0,-1.0,BALANCE,0.38520244611345583,HOLD
REPLAY_000238,NQM6.CME@RITHMIC,SHORT,28343.5,28347.5,STOP,-4.0,2.0,-1.0,BALANCE,0.2502652641470452,HOLD
REPLAY_000239,ESM6.CME@RITHMIC,LONG,7309.75,7309.75,NO_EXIT,5.0,-2.5,0.0,BALANCE,0.43535722828821255,HOLD
REPLAY_000240,ESM6.CME@RITHMIC,SHORT,7309.0,7313.0,STOP,-4.0,1.75,-1.0,BALANCE,0.5808641250252657,HOLD
REPLAY_000241,ESM6.CME@RITHMIC,LONG,7308.25,7314.25,TARGET1,6.0,-1.0,1.5,BALANCE,0.6515530786025797,HOLD
REPLAY_000242,NQM6.CME@RITHMIC,SHORT,28339.5,28333.5,TARGET1,-3.5,6.0,1.5,BALANCE,0.28831172349647277,HOLD
REPLAY_000243,NQM6.CME@RITHMIC,LONG,28334.5,28340.5,TARGET1,6.0,-3.25,1.5,BALANCE,0.529858158503163,HOLD
REPLAY_000244,ESM6.CME@RITHMIC,LONG,7307.75,7313.75,TARGET1,6.0,-0.5,1.5,BALANCE,0.2993802758801838,HOLD
REPLAY_000245,ESM6.CME@RITHMIC,SHORT,7307.5,7311.5,STOP,-4.0,0.25,-1.0,BALANCE,0.4448368242884559,HOLD
REPLAY_000246,ESM6.CME@RITHMIC,LONG,7308.0,7314.0,TARGET1,6.0,0.0,1.5,BALANCE,0.2582646392163168,HOLD
REPLAY_000247,ESM6.CME@RITHMIC,SHORT,7309.0,7313.0,STOP,-4.0,0.25,-1.0,BALANCE,0.2972307885857524,HOLD
REPLAY_000248,ESM6.CME@RITHMIC,SHORT,7309.75,7313.75,STOP,-4.0,0.5,-1.0,BALANCE,0.5878230436386922,HOLD
REPLAY_000249,NQM6.CME@RITHMIC,SHORT,28349.25,28353.25,STOP,-4.0,0.5,-1.0,BALANCE,0.8281895525616405,HOLD
REPLAY_000250,NQM6.CME@RITHMIC,LONG,28346.75,28352.75,TARGET1,6.0,-2.75,1.5,BALANCE,0.2903908820072071,HOLD
REPLAY_000251,ESM6.CME@RITHMIC,SHORT,7310.0,7314.0,STOP,-4.0,0.0,-1.0,BALANCE,0.33208183409990966,HOLD
REPLAY_000252,ESM6.CME@RITHMIC,SHORT,7310.75,7314.75,STOP,-4.0,0.0,-1.0,BALANCE,0.46166646376967735,HOLD
REPLAY_000253,NQM6.CME@RITHMIC,LONG,28353.75,28359.75,TARGET1,6.0,-3.75,1.5,BALANCE,0.3081593779227319,HOLD
REPLAY_000254,NQM6.CME@RITHMIC,LONG,28356.25,28362.25,TARGET1,6.0,-2.75,1.5,BALANCE,0.2675990264816053,HOLD
REPLAY_000255,ESM6.CME@RITHMIC,SHORT,7311.75,7311.75,NO_EXIT,-3.0,2.5,0.0,BALANCE,0.6867150157371946,HOLD
REPLAY_000256,ESM6.CME@RITHMIC,SHORT,7314.0,7314.0,NO_EXIT,-0.75,5.0,0.0,BALANCE,0.656182585929315,HOLD
REPLAY_000257,ESM6.CME@RITHMIC,SHORT,7314.25,7314.25,NO_EXIT,-0.5,5.75,0.0,BALANCE,0.29163732232156,HOLD
REPLAY_000258,ESM6.CME@RITHMIC,SHORT,7314.25,7308.25,TARGET1,-0.25,6.0,1.5,BALANCE,0.732957962600467,HOLD
REPLAY_000259,NQM6.CME@RITHMIC,LONG,28366.75,28362.75,STOP,0.0,-4.0,-1.0,BALANCE,0.7961325031333245,HOLD
REPLAY_000260,ESM6.CME@RITHMIC,LONG,7313.75,7309.75,STOP,0.0,-4.0,-1.0,BALANCE,0.4329614070161686,HOLD
REPLAY_000261,ESM6.CME@RITHMIC,SHORT,7313.25,7313.25,NO_EXIT,-0.5,5.0,0.0,BALANCE,0.4565985074252784,HOLD
REPLAY_000262,ESM6.CME@RITHMIC,SHORT,7313.0,7313.0,NO_EXIT,0.0,4.75,0.0,BALANCE,0.3280778374468348,HOLD
REPLAY_000263,ESM6.CME@RITHMIC,SHORT,7311.75,7311.75,NO_EXIT,-0.25,3.5,0.0,BALANCE,0.277970172590739,HOLD
REPLAY_000264,ESM6.CME@RITHMIC,SHORT,7311.5,7311.5,NO_EXIT,0.0,3.25,0.0,BALANCE,0.5125795968091503,HOLD
REPLAY_000265,NQM6.CME@RITHMIC,LONG,28340.75,28336.75,STOP,1.5,-4.0,-1.0,BALANCE,0.4130455950366737,HOLD
REPLAY_000266,NQM6.CME@RITHMIC,SHORT,28337.25,28331.25,TARGET1,-3.5,6.25,1.5,BALANCE,0.5222157265927113,HOLD
REPLAY_000267,ESM6.CME@RITHMIC,LONG,7310.0,7310.0,NO_EXIT,1.25,-2.75,0.0,BALANCE,0.8244571072300451,HOLD
REPLAY_000268,ESM6.CME@RITHMIC,SHORT,7309.75,7309.75,NO_EXIT,-1.5,2.5,0.0,BALANCE,0.7651289243188446,HOLD
REPLAY_000269,NQM6.CME@RITHMIC,LONG,28333.75,28329.75,STOP,2.25,-4.0,-1.0,BALANCE,0.29406643274527394,HOLD
REPLAY_000270,ESM6.CME@RITHMIC,SHORT,7310.75,7310.75,NO_EXIT,-0.5,3.5,0.0,BALANCE,0.3586564698095388,HOLD
REPLAY_000271,ESM6.CME@RITHMIC,LONG,7309.75,7309.75,NO_EXIT,1.5,-2.5,0.0,BALANCE,0.6712100324771838,HOLD
REPLAY_000272,NQM6.CME@RITHMIC,LONG,28326.75,28322.75,STOP,2.75,-4.5,-1.0,BALANCE,0.6207733017362401,HOLD
REPLAY_000273,NQM6.CME@RITHMIC,LONG,28327.25,28323.25,STOP,0.5,-4.25,-1.0,BALANCE,0.7629987711116027,HOLD
REPLAY_000274,ESM6.CME@RITHMIC,LONG,7309.25,7309.25,NO_EXIT,2.0,-2.0,0.0,BALANCE,0.28471701620405926,HOLD
REPLAY_000275,NQM6.CME@RITHMIC,SHORT,28319.75,28323.75,STOP,-4.5,0.75,-1.0,BALANCE,0.7306326982680857,HOLD
REPLAY_000276,ESM6.CME@RITHMIC,SHORT,7310.0,7310.0,NO_EXIT,-1.25,5.0,0.0,BALANCE,0.5425994480377809,HOLD
REPLAY_000277,NQM6.CME@RITHMIC,LONG,28332.5,28328.5,STOP,2.75,-4.5,-1.0,BALANCE,0.4110680666346373,HOLD
REPLAY_000278,ESM6.CME@RITHMIC,SHORT,7310.5,7310.5,NO_EXIT,-0.5,5.5,0.0,BALANCE,0.30274080850954704,HOLD
REPLAY_000279,NQM6.CME@RITHMIC,SHORT,28332.5,28336.5,STOP,-4.5,0.5,-1.0,BALANCE,0.7458677235130924,HOLD
REPLAY_000280,ESM6.CME@RITHMIC,SHORT,7309.5,7309.5,NO_EXIT,-1.5,5.75,0.0,BALANCE,0.500267368359728,HOLD
REPLAY_000281,ESM6.CME@RITHMIC,LONG,7309.25,7305.25,STOP,1.75,-4.0,-1.0,BALANCE,0.47226916933071744,HOLD
REPLAY_000282,ESM6.CME@RITHMIC,LONG,7308.5,7304.5,STOP,2.5,-4.0,-1.0,BALANCE,0.506008965539316,HOLD
REPLAY_000283,ESM6.CME@RITHMIC,SHORT,7308.0,7308.0,NO_EXIT,-3.0,4.25,0.0,BALANCE,0.6403419438562009,HOLD
REPLAY_000284,NQM6.CME@RITHMIC,SHORT,28326.25,28330.25,STOP,-4.75,1.5,-1.0,BALANCE,0.6182693857910748,HOLD
REPLAY_000285,ESM6.CME@RITHMIC,SHORT,7309.0,7309.0,NO_EXIT,-2.0,5.25,0.0,BALANCE,0.36733160181702207,HOLD
REPLAY_000286,ESM6.CME@RITHMIC,SHORT,7309.25,7309.25,NO_EXIT,-1.75,5.5,0.0,BALANCE,0.2972878535223463,HOLD
REPLAY_000287,NQM6.CME@RITHMIC,LONG,28335.5,28341.5,TARGET1,6.0,-0.5,1.5,BALANCE,0.7661197439348157,HOLD
REPLAY_000288,ESM6.CME@RITHMIC,LONG,7310.5,7306.5,STOP,0.5,-4.0,-1.0,BALANCE,0.4959871013226603,HOLD
REPLAY_000289,ESM6.CME@RITHMIC,SHORT,7309.75,7303.75,TARGET1,-0.25,6.0,1.5,BALANCE,0.5220944622030003,HOLD
REPLAY_000290,NQM6.CME@RITHMIC,LONG,28328.0,28324.0,STOP,0.75,-4.0,-1.0,BALANCE,0.4655893759334767,HOLD
REPLAY_000291,ESM6.CME@RITHMIC,SHORT,7305.5,7309.5,STOP,-4.0,1.75,-1.0,BALANCE,0.7827931300308056,HOLD
REPLAY_000292,NQM6.CME@RITHMIC,LONG,28318.75,28314.75,STOP,5.25,-4.5,-1.0,BALANCE,0.8246918317151277,HOLD
REPLAY_000293,ESM6.CME@RITHMIC,LONG,7307.25,7307.25,NO_EXIT,3.0,-3.5,0.0,BALANCE,0.5514568070055829,HOLD
REPLAY_000294,NQM6.CME@RITHMIC,LONG,28308.0,28304.0,STOP,0.75,-4.0,-1.0,BALANCE,0.3339289853678066,HOLD
REPLAY_000295,ESM6.CME@RITHMIC,SHORT,7304.75,7308.75,STOP,-4.0,0.25,-1.0,BALANCE,0.700180073503991,HOLD
REPLAY_000296,NQM6.CME@RITHMIC,SHORT,28301.0,28305.0,STOP,-4.0,0.0,-1.0,BALANCE,0.43296682940026904,HOLD
REPLAY_000297,ESM6.CME@RITHMIC,LONG,7306.75,7306.75,NO_EXIT,3.5,-0.75,0.0,BALANCE,0.5305464993489053,HOLD
REPLAY_000298,NQM6.CME@RITHMIC,SHORT,28319.5,28313.5,TARGET1,-1.0,6.0,1.5,BALANCE,0.7157739947697384,HOLD
REPLAY_000299,NQM6.CME@RITHMIC,LONG,28322.5,28328.5,TARGET1,6.0,-2.0,1.5,BALANCE,0.6853800491047217,HOLD
REPLAY_000300,ESM6.CME@RITHMIC,LONG,7310.0,7306.0,STOP,0.0,-4.0,-1.0,BALANCE,0.8183897191059579,HOLD
REPLAY_000301,ESM6.CME@RITHMIC,LONG,7308.75,7308.75,NO_EXIT,1.75,-2.75,0.0,BALANCE,0.27059076953358857,HOLD
REPLAY_000302,ESM6.CME@RITHMIC,LONG,7308.5,7308.5,NO_EXIT,2.5,-2.5,0.0,BALANCE,0.37350240044729144,HOLD
REPLAY_000303,ESM6.CME@RITHMIC,LONG,7307.75,7307.75,NO_EXIT,3.25,-1.75,0.0,BALANCE,0.722080130890858,HOLD
REPLAY_000304,NQM6.CME@RITHMIC,SHORT,28315.5,28319.5,STOP,-4.25,3.0,-1.0,BALANCE,0.36558045338048123,HOLD
REPLAY_000305,NQM6.CME@RITHMIC,LONG,28321.5,28327.5,TARGET1,6.0,-1.75,1.5,BALANCE,0.7509239599600889,HOLD
REPLAY_000306,ESM6.CME@RITHMIC,SHORT,7307.75,7307.75,NO_EXIT,-3.75,0.5,0.0,BALANCE,0.6692914067532053,HOLD
