symbol,regime,trade_count,win_rate,total_r,profit_factor
ESM6.CME@RITHMIC,BALANCE,2571,4.084014002333722,-186.5,0.4578488372093023
NQM6.CME@RITHMIC,BALANCE,1587,42.722117202268436,114.0,1.1258278145695364
NQM6.CME@RITHMIC,BULL_TRANSITION,4,50.0,1.0,1.5
